customer_id,store_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
7,123,refined oil,2022-01-01,9,110,1,110,UPI
13,122,clinic plus,2022-01-01,4,1.5,6,9.0,cash
13,123,clinic plus,2022-01-01,7,1.5,5,7.5,cash
14,121,maida,2022-01-01,1,20,9,180,cash
20,123,dantkanti,2022-01-01,8,100,5,500,cash
17,121,maida,2022-01-01,2,20,8,160,cash
17,121,clinic plus,2022-01-01,2,1.5,3,4.5,cash
10,123,clinic plus,2022-01-01,8,1.5,3,4.5,cash
15,122,sugar,2022-01-01,4,50,1,50,UPI
3,121,besan,2022-01-01,1,52,3,156,cash
3,121,refined oil,2022-01-01,2,110,10,1100,cash
4,123,maida,2022-01-01,7,20,3,60,UPI
13,122,refined oil,2022-01-01,6,110,9,990,cash
18,123,refined oil,2022-01-01,8,110,4,440,cash
19,123,besan,2022-01-01,7,52,7,364,cash
11,122,refined oil,2022-01-01,5,110,10,1100,cash
7,122,sugar,2022-01-01,5,50,3,150,cash
3,122,maida,2022-01-01,5,20,5,100,UPI
1,122,besan,2022-01-01,4,52,3,156,UPI
15,121,maida,2022-01-01,3,20,3,60,cash
2,121,quaker oats,2022-01-01,3,212,8,1696,cash
1,123,dantkanti,2022-01-01,8,100,1,100,UPI
12,121,nutrella,2022-01-01,3,40,2,80,cash
17,121,dantkanti,2022-01-01,2,100,2,200,UPI
10,123,quaker oats,2022-01-01,8,212,3,636,UPI
14,123,sugar,2022-01-01,9,50,2,100,UPI
15,122,maida,2022-01-01,4,20,5,100,UPI
17,123,quaker oats,2022-01-01,9,212,7,1484,cash
20,122,nutrella,2022-01-01,4,40,6,240,UPI
3,121,dantkanti,2022-01-01,2,100,5,500,cash
3,123,sugar,2022-01-01,7,50,7,350,cash
4,123,dantkanti,2022-01-01,9,100,1,100,UPI
6,122,nutrella,2022-01-01,4,40,7,280,cash
13,121,nutrella,2022-01-01,3,40,3,120,UPI
6,123,refined oil,2022-01-01,7,110,2,220,cash
8,122,nutrella,2022-01-01,4,40,6,240,UPI
10,122,besan,2022-01-01,6,52,9,468,cash
18,122,quaker oats,2022-01-01,4,212,4,848,cash
19,121,refined oil,2022-01-01,2,110,6,660,cash
7,121,dantkanti,2022-01-01,1,100,5,500,cash
13,121,clinic plus,2022-01-01,2,1.5,8,12.0,UPI
7,122,quaker oats,2022-01-01,4,212,2,424,UPI
14,122,nutrella,2022-01-01,4,40,6,240,UPI
11,123,quaker oats,2022-01-01,9,212,2,424,cash
15,121,refined oil,2022-01-01,2,110,7,770,UPI
14,121,dantkanti,2022-01-01,1,100,8,800,UPI
1,121,clinic plus,2022-01-01,3,1.5,10,15.0,cash
8,121,maida,2022-01-01,3,20,3,60,UPI
16,123,nutrella,2022-01-01,9,40,7,280,UPI
8,123,maida,2022-01-01,8,20,7,140,cash
5,123,sugar,2022-01-01,9,50,2,100,UPI
17,122,nutrella,2022-01-01,5,40,5,200,cash
6,122,maida,2022-01-01,4,20,10,200,UPI
10,123,sugar,2022-01-01,8,50,6,300,cash
19,121,refined oil,2022-01-01,3,110,7,770,UPI
18,122,quaker oats,2022-01-01,5,212,6,1272,cash
14,123,nutrella,2022-01-01,9,40,1,40,cash
18,122,quaker oats,2022-01-01,6,212,5,1060,cash
1,123,besan,2022-01-01,7,52,4,208,cash
2,123,nutrella,2022-01-01,7,40,3,120,cash
13,121,besan,2022-01-01,1,52,1,52,UPI
12,123,quaker oats,2022-01-01,7,212,10,2120,cash
16,123,quaker oats,2022-01-01,9,212,3,636,cash
20,122,sugar,2022-01-01,5,50,2,100,cash
12,123,besan,2022-01-01,7,52,6,312,UPI
14,123,refined oil,2022-01-01,8,110,10,1100,cash
19,123,clinic plus,2022-01-01,7,1.5,6,9.0,UPI
14,121,clinic plus,2022-01-01,1,1.5,5,7.5,cash
20,121,nutrella,2022-01-01,3,40,3,120,UPI
5,121,dantkanti,2022-01-01,3,100,4,400,cash
7,121,refined oil,2022-01-01,2,110,1,110,UPI
8,121,dantkanti,2022-01-01,3,100,8,800,UPI
14,122,maida,2022-01-01,4,20,7,140,UPI
5,123,besan,2022-01-01,8,52,9,468,cash
10,121,maida,2022-01-01,3,20,10,200,UPI
11,122,refined oil,2022-01-01,5,110,6,660,cash
11,122,maida,2022-01-01,5,20,1,20,UPI
6,121,maida,2022-01-01,1,20,5,100,UPI
12,122,refined oil,2022-01-01,6,110,9,990,UPI
16,121,sugar,2022-01-01,1,50,6,300,UPI
15,121,clinic plus,2022-01-01,1,1.5,1,1.5,UPI
2,121,sugar,2022-01-01,1,50,6,300,UPI
1,121,sugar,2022-01-01,2,50,9,450,cash
2,121,sugar,2022-01-01,3,50,1,50,cash
20,121,besan,2022-01-01,3,52,9,468,UPI
15,122,maida,2022-01-01,5,20,4,80,cash
3,121,besan,2022-01-01,2,52,9,468,UPI
10,123,nutrella,2022-01-01,8,40,8,320,UPI
15,122,nutrella,2022-01-01,6,40,4,160,UPI
2,122,maida,2022-01-01,6,20,4,80,UPI
10,122,besan,2022-01-01,4,52,8,416,UPI
12,122,besan,2022-01-01,4,52,10,520,UPI
7,123,dantkanti,2022-01-01,7,100,2,200,UPI
5,122,refined oil,2022-01-01,5,110,6,660,cash
1,122,clinic plus,2022-01-01,4,1.5,6,9.0,cash
5,123,sugar,2022-01-01,8,50,10,500,cash
10,123,quaker oats,2022-01-01,9,212,4,848,cash
18,123,nutrella,2022-01-01,8,40,10,400,cash
7,121,quaker oats,2022-01-01,3,212,6,1272,cash
10,121,clinic plus,2022-01-01,3,1.5,10,15.0,cash
17,121,nutrella,2022-01-01,3,40,10,400,cash
13,122,dantkanti,2022-01-01,4,100,1,100,UPI
1,121,quaker oats,2022-01-01,3,212,7,1484,cash
2,121,sugar,2022-01-01,2,50,1,50,cash
13,121,besan,2022-01-01,2,52,8,416,UPI
16,123,besan,2022-01-01,9,52,5,260,cash
19,121,sugar,2022-01-01,2,50,7,350,UPI
11,122,dantkanti,2022-01-01,4,100,5,500,UPI
1,121,quaker oats,2022-01-01,3,212,8,1696,cash
20,122,nutrella,2022-01-01,4,40,4,160,UPI
7,121,maida,2022-01-01,1,20,8,160,cash
19,121,sugar,2022-01-01,2,50,9,450,UPI
8,123,quaker oats,2022-01-01,8,212,9,1908,cash
10,122,besan,2022-01-01,5,52,10,520,UPI
11,122,refined oil,2022-01-01,6,110,3,330,UPI
12,121,clinic plus,2022-01-01,2,1.5,4,6.0,UPI
19,123,dantkanti,2022-01-01,7,100,5,500,UPI
18,122,maida,2022-01-01,6,20,4,80,cash
3,121,refined oil,2022-01-01,2,110,9,990,UPI
14,121,sugar,2022-01-01,1,50,3,150,cash
13,121,clinic plus,2022-01-01,1,1.5,9,13.5,cash
17,121,besan,2022-01-01,3,52,7,364,UPI
1,123,clinic plus,2022-01-01,7,1.5,3,4.5,UPI
7,121,clinic plus,2022-01-01,1,1.5,1,1.5,cash
1,121,quaker oats,2022-01-01,1,212,4,848,cash
14,123,dantkanti,2022-01-01,9,100,3,300,cash
8,121,refined oil,2022-01-01,1,110,10,1100,UPI
14,122,nutrella,2022-01-01,5,40,6,240,cash
19,123,maida,2022-01-01,7,20,1,20,UPI
1,122,sugar,2022-01-01,5,50,1,50,cash
6,123,clinic plus,2022-01-01,9,1.5,6,9.0,UPI
19,123,besan,2022-01-01,8,52,8,416,cash
11,121,refined oil,2022-01-01,3,110,3,330,UPI
15,123,refined oil,2022-01-01,7,110,8,880,UPI
10,122,besan,2022-01-01,6,52,1,52,UPI
13,123,maida,2022-01-01,7,20,1,20,cash
14,123,nutrella,2022-01-01,8,40,7,280,cash
11,123,dantkanti,2022-01-01,7,100,9,900,cash
2,122,dantkanti,2022-01-01,4,100,7,700,UPI
18,121,refined oil,2022-01-01,3,110,3,330,cash
1,122,clinic plus,2022-01-01,5,1.5,6,9.0,cash
17,121,sugar,2022-01-01,3,50,1,50,cash
6,121,refined oil,2022-01-01,1,110,10,1100,UPI
16,122,nutrella,2022-01-01,4,40,10,400,UPI
9,122,besan,2022-01-01,6,52,3,156,cash
11,123,sugar,2022-01-01,9,50,1,50,cash
7,123,refined oil,2022-01-01,8,110,8,880,UPI
15,123,nutrella,2022-01-01,8,40,7,280,cash
6,121,besan,2022-01-01,2,52,9,468,UPI
6,122,clinic plus,2022-01-01,5,1.5,7,10.5,UPI
19,123,clinic plus,2022-01-01,9,1.5,9,13.5,UPI
10,122,nutrella,2022-01-01,6,40,4,160,UPI
18,123,nutrella,2022-01-01,8,40,8,320,UPI
3,121,quaker oats,2022-01-01,1,212,9,1908,UPI
15,123,refined oil,2022-01-01,7,110,5,550,UPI
6,122,sugar,2022-01-01,5,50,8,400,UPI
14,121,dantkanti,2022-01-01,3,100,9,900,cash
18,122,clinic plus,2022-01-01,6,1.5,9,13.5,UPI
4,121,quaker oats,2022-01-01,3,212,7,1484,UPI
1,123,dantkanti,2022-01-01,7,100,6,600,UPI
8,123,dantkanti,2022-01-01,7,100,10,1000,UPI
12,122,dantkanti,2022-01-01,5,100,4,400,cash
18,121,quaker oats,2022-01-01,2,212,10,2120,UPI
7,123,quaker oats,2022-01-01,8,212,3,636,UPI
5,122,nutrella,2022-01-01,5,40,6,240,UPI
6,123,sugar,2022-01-01,9,50,6,300,cash
7,121,sugar,2022-01-01,1,50,1,50,UPI
18,121,nutrella,2022-01-01,3,40,9,360,UPI
13,123,maida,2022-01-01,8,20,2,40,UPI
5,121,refined oil,2022-01-01,3,110,6,660,UPI
13,123,besan,2022-01-01,8,52,4,208,UPI
5,123,sugar,2022-01-01,7,50,7,350,UPI
2,121,besan,2022-01-01,2,52,5,260,cash
6,121,maida,2022-01-01,2,20,3,60,cash
2,122,nutrella,2022-01-01,6,40,9,360,cash
14,122,quaker oats,2022-01-01,4,212,8,1696,UPI
16,121,besan,2022-01-01,2,52,5,260,UPI
10,121,clinic plus,2022-01-01,2,1.5,8,12.0,cash
15,121,maida,2022-01-01,1,20,10,200,UPI
1,121,quaker oats,2022-01-01,1,212,4,848,UPI
17,122,quaker oats,2022-01-01,4,212,8,1696,UPI
13,121,clinic plus,2022-01-01,2,1.5,6,9.0,UPI
4,123,dantkanti,2022-01-01,9,100,4,400,UPI
14,123,maida,2022-01-01,7,20,9,180,UPI
3,121,refined oil,2022-01-01,3,110,2,220,UPI
2,121,dantkanti,2022-01-01,2,100,6,600,UPI
4,121,dantkanti,2022-01-01,1,100,4,400,UPI
20,121,quaker oats,2022-01-01,3,212,4,848,cash
11,121,refined oil,2022-01-01,2,110,6,660,UPI
6,123,clinic plus,2022-01-01,7,1.5,4,6.0,cash
12,121,besan,2022-01-01,3,52,7,364,cash
13,121,quaker oats,2022-01-01,3,212,3,636,UPI
19,122,nutrella,2022-01-01,4,40,2,80,UPI
1,121,refined oil,2022-01-01,2,110,10,1100,UPI
15,122,maida,2022-01-01,4,20,8,160,UPI
10,121,refined oil,2022-01-01,3,110,6,660,cash
12,121,dantkanti,2022-01-01,1,100,7,700,UPI
15,121,quaker oats,2022-01-01,1,212,4,848,cash
14,121,besan,2022-01-01,3,52,9,468,cash
3,121,clinic plus,2022-01-01,3,1.5,2,3.0,UPI
10,123,clinic plus,2022-01-01,9,1.5,2,3.0,UPI
17,121,maida,2022-01-01,3,20,7,140,cash
2,122,quaker oats,2022-01-01,5,212,3,636,cash
10,122,clinic plus,2022-01-01,4,1.5,1,1.5,cash
15,122,refined oil,2022-01-01,5,110,10,1100,UPI
20,123,maida,2022-01-01,9,20,3,60,UPI
11,123,nutrella,2022-01-01,9,40,10,400,UPI
1,122,nutrella,2022-01-01,4,40,7,280,UPI
12,121,quaker oats,2022-01-01,2,212,7,1484,cash
7,122,sugar,2022-01-01,5,50,5,250,UPI
18,121,quaker oats,2022-01-01,3,212,7,1484,UPI
8,123,nutrella,2022-01-01,8,40,9,360,UPI
10,122,clinic plus,2022-01-01,4,1.5,4,6.0,cash
9,123,nutrella,2022-01-01,9,40,10,400,cash
16,121,maida,2022-01-01,3,20,10,200,UPI
7,123,clinic plus,2022-01-01,7,1.5,7,10.5,cash
19,122,clinic plus,2022-01-01,5,1.5,2,3.0,cash
12,122,nutrella,2022-01-01,5,40,2,80,cash
10,121,sugar,2022-01-01,3,50,6,300,UPI
11,123,sugar,2022-01-01,7,50,4,200,UPI
19,121,quaker oats,2022-01-01,1,212,5,1060,cash
1,123,nutrella,2022-01-01,8,40,3,120,UPI
16,122,clinic plus,2022-01-01,6,1.5,1,1.5,cash
18,121,besan,2022-01-01,3,52,2,104,UPI
15,121,besan,2022-01-01,3,52,7,364,UPI
19,122,besan,2022-01-01,4,52,9,468,cash
8,121,quaker oats,2022-01-01,1,212,9,1908,UPI
13,122,sugar,2022-01-01,6,50,3,150,UPI
5,121,clinic plus,2022-01-01,3,1.5,1,1.5,UPI
12,123,sugar,2022-01-01,9,50,8,400,UPI
9,123,refined oil,2022-01-01,9,110,7,770,cash
19,123,sugar,2022-01-01,8,50,8,400,UPI
2,122,sugar,2022-01-01,6,50,8,400,cash
11,121,dantkanti,2022-01-01,2,100,4,400,cash
10,121,besan,2022-01-01,1,52,3,156,UPI
10,122,clinic plus,2022-01-01,6,1.5,10,15.0,cash
18,122,quaker oats,2022-01-01,4,212,5,1060,UPI
17,123,clinic plus,2022-01-01,8,1.5,6,9.0,UPI
15,122,clinic plus,2022-01-01,4,1.5,6,9.0,cash
8,122,refined oil,2022-01-01,6,110,2,220,UPI
11,122,refined oil,2022-01-01,4,110,7,770,cash
18,121,quaker oats,2022-01-01,2,212,3,636,cash
19,121,quaker oats,2022-01-01,3,212,2,424,cash
13,121,maida,2022-01-01,1,20,10,200,cash
19,121,clinic plus,2022-01-01,3,1.5,10,15.0,cash
12,122,sugar,2022-01-01,6,50,7,350,UPI
5,122,besan,2022-01-01,5,52,8,416,cash
15,123,nutrella,2022-01-01,9,40,4,160,cash
4,123,clinic plus,2022-01-01,7,1.5,6,9.0,cash
3,121,maida,2022-01-01,2,20,7,140,cash
12,121,refined oil,2022-01-01,3,110,7,770,UPI
7,121,sugar,2022-01-01,1,50,9,450,cash
13,122,sugar,2022-01-01,4,50,7,350,UPI
6,122,maida,2022-01-01,5,20,3,60,UPI
7,122,refined oil,2022-01-01,4,110,7,770,UPI
8,122,besan,2022-01-01,4,52,6,312,cash
16,121,sugar,2022-01-01,1,50,3,150,UPI
17,123,sugar,2022-01-01,7,50,7,350,UPI
2,123,maida,2022-01-01,9,20,5,100,cash
17,121,refined oil,2022-01-01,3,110,10,1100,UPI
15,123,besan,2022-01-01,8,52,9,468,cash
11,123,maida,2022-01-01,9,20,2,40,UPI
18,122,quaker oats,2022-01-01,6,212,5,1060,UPI
1,123,besan,2022-01-01,7,52,6,312,UPI
14,123,clinic plus,2022-01-01,9,1.5,6,9.0,UPI
20,121,quaker oats,2022-01-01,3,212,4,848,cash
5,121,maida,2022-01-01,2,20,9,180,UPI
15,121,refined oil,2022-01-01,3,110,6,660,cash
11,123,dantkanti,2022-01-01,9,100,3,300,cash
13,123,clinic plus,2022-01-01,7,1.5,5,7.5,UPI
10,122,dantkanti,2022-01-01,5,100,10,1000,UPI
12,123,sugar,2022-01-01,8,50,3,150,cash
19,122,refined oil,2022-01-01,4,110,3,330,cash
7,121,besan,2022-01-01,3,52,8,416,cash
18,123,refined oil,2022-01-01,9,110,3,330,UPI
18,121,clinic plus,2022-01-01,1,1.5,7,10.5,UPI
12,121,clinic plus,2022-01-01,1,1.5,2,3.0,UPI
7,122,maida,2022-01-01,4,20,1,20,cash
20,121,maida,2022-01-01,3,20,6,120,UPI
7,123,nutrella,2022-01-01,7,40,7,280,cash
6,123,quaker oats,2022-01-01,9,212,10,2120,cash
3,121,maida,2022-01-01,3,20,7,140,UPI
5,121,clinic plus,2022-01-01,2,1.5,9,13.5,cash
8,122,besan,2022-01-01,6,52,1,52,UPI
12,121,quaker oats,2022-01-01,2,212,8,1696,cash
7,122,dantkanti,2022-01-01,5,100,6,600,cash
3,121,clinic plus,2022-01-01,2,1.5,9,13.5,cash
6,123,dantkanti,2022-01-01,7,100,4,400,UPI
6,123,nutrella,2022-01-01,9,40,9,360,UPI
8,123,quaker oats,2022-01-01,8,212,1,212,UPI
13,121,clinic plus,2022-01-01,1,1.5,2,3.0,UPI
2,123,besan,2022-01-01,8,52,9,468,UPI
3,122,besan,2022-01-01,6,52,2,104,cash
20,121,clinic plus,2022-01-01,2,1.5,7,10.5,UPI
10,122,maida,2022-01-01,6,20,1,20,cash
13,122,refined oil,2022-01-01,4,110,8,880,UPI
17,123,besan,2022-01-01,8,52,9,468,UPI
20,122,dantkanti,2022-01-01,4,100,6,600,UPI
10,121,sugar,2022-01-01,1,50,1,50,cash
12,122,sugar,2022-01-01,4,50,4,200,UPI
14,122,clinic plus,2022-01-01,5,1.5,4,6.0,cash
16,123,maida,2022-01-01,7,20,1,20,UPI
14,121,dantkanti,2022-01-01,1,100,3,300,cash
1,121,refined oil,2022-01-01,3,110,5,550,cash
13,123,besan,2022-01-01,7,52,4,208,cash
13,121,dantkanti,2022-01-01,2,100,7,700,UPI
2,121,refined oil,2022-01-01,1,110,4,440,cash
7,122,nutrella,2022-01-01,4,40,3,120,UPI
4,122,besan,2022-01-01,4,52,4,208,UPI
3,123,quaker oats,2022-01-01,9,212,6,1272,UPI
18,122,maida,2022-01-01,5,20,8,160,UPI
10,121,sugar,2022-01-01,1,50,3,150,cash
10,122,sugar,2022-01-01,6,50,10,500,cash
8,122,nutrella,2022-01-01,6,40,1,40,UPI
9,122,besan,2022-01-01,4,52,4,208,cash
5,123,nutrella,2022-01-01,8,40,9,360,UPI
16,123,refined oil,2022-01-01,9,110,7,770,cash
3,121,nutrella,2022-01-01,3,40,1,40,UPI
13,123,maida,2022-01-01,8,20,4,80,cash
15,121,dantkanti,2022-01-01,2,100,1,100,UPI
17,123,nutrella,2022-01-01,9,40,4,160,cash
10,121,nutrella,2022-01-01,1,40,6,240,cash
5,123,besan,2022-01-01,7,52,5,260,UPI
6,121,quaker oats,2022-01-01,1,212,1,212,cash
12,123,quaker oats,2022-01-01,7,212,1,212,UPI
19,121,besan,2022-01-01,1,52,2,104,UPI
12,123,clinic plus,2022-01-01,8,1.5,1,1.5,UPI
2,122,refined oil,2022-01-01,4,110,3,330,UPI
12,123,sugar,2022-01-01,7,50,2,100,cash
19,123,dantkanti,2022-01-01,8,100,1,100,UPI
6,122,clinic plus,2022-01-01,5,1.5,9,13.5,UPI
12,121,dantkanti,2022-01-01,1,100,1,100,UPI
6,122,sugar,2022-01-01,4,50,6,300,UPI
13,121,dantkanti,2022-01-01,3,100,7,700,UPI
8,121,dantkanti,2022-01-01,1,100,6,600,cash
16,121,maida,2022-01-01,1,20,7,140,cash
7,122,refined oil,2022-01-01,6,110,10,1100,cash
2,121,maida,2022-01-01,2,20,5,100,cash
2,121,maida,2022-01-01,3,20,6,120,UPI
19,123,nutrella,2022-01-01,9,40,9,360,cash
11,121,sugar,2022-01-01,1,50,4,200,cash
3,123,quaker oats,2022-01-01,9,212,7,1484,cash
9,123,refined oil,2022-01-01,8,110,10,1100,cash
9,123,nutrella,2022-01-01,8,40,5,200,cash
20,122,maida,2022-01-01,5,20,3,60,cash
3,122,besan,2022-01-01,5,52,8,416,cash
10,122,besan,2022-01-01,6,52,10,520,cash
7,123,sugar,2022-01-01,8,50,6,300,cash
8,123,besan,2022-01-01,8,52,7,364,cash
17,122,clinic plus,2022-01-01,5,1.5,10,15.0,cash
5,123,refined oil,2022-01-01,8,110,7,770,cash
14,123,sugar,2022-01-01,9,50,9,450,UPI
6,121,nutrella,2022-01-01,2,40,3,120,cash
2,121,besan,2022-01-01,2,52,3,156,UPI
19,123,sugar,2022-01-01,8,50,3,150,cash
4,121,quaker oats,2022-01-01,3,212,1,212,cash
4,121,dantkanti,2022-01-01,2,100,10,1000,UPI
19,121,besan,2022-01-01,2,52,6,312,cash
18,123,clinic plus,2022-01-01,8,1.5,10,15.0,UPI
6,121,besan,2022-01-01,2,52,8,416,UPI
8,122,besan,2022-01-01,5,52,9,468,UPI
13,122,sugar,2022-01-01,5,50,8,400,UPI
8,122,besan,2022-01-01,4,52,3,156,UPI
1,121,besan,2022-01-01,2,52,1,52,cash
3,121,maida,2022-01-01,3,20,6,120,UPI
17,123,sugar,2022-01-01,7,50,5,250,UPI
20,123,clinic plus,2022-01-01,8,1.5,1,1.5,UPI
2,122,maida,2022-01-01,5,20,4,80,cash
17,121,quaker oats,2022-01-01,3,212,7,1484,UPI
19,123,refined oil,2022-01-01,8,110,6,660,UPI
5,122,quaker oats,2022-01-01,6,212,5,1060,UPI
20,121,clinic plus,2022-01-01,1,1.5,4,6.0,UPI
5,121,clinic plus,2022-01-01,2,1.5,5,7.5,UPI
14,122,maida,2022-01-01,6,20,5,100,UPI
16,122,nutrella,2022-01-01,4,40,8,320,cash
4,121,refined oil,2022-01-01,1,110,7,770,UPI
5,121,quaker oats,2022-01-01,1,212,8,1696,cash
11,123,maida,2022-01-01,9,20,4,80,UPI
13,122,nutrella,2022-01-01,6,40,6,240,UPI
12,122,clinic plus,2022-01-01,5,1.5,3,4.5,UPI
2,123,besan,2022-01-01,7,52,7,364,cash
6,121,dantkanti,2022-01-01,2,100,7,700,cash
17,123,clinic plus,2022-01-01,9,1.5,3,4.5,UPI
14,122,quaker oats,2022-01-01,5,212,8,1696,cash
18,121,nutrella,2022-01-01,2,40,8,320,cash
1,121,besan,2022-01-01,3,52,9,468,UPI
18,123,refined oil,2022-01-01,7,110,6,660,UPI
4,122,refined oil,2022-01-01,6,110,7,770,UPI
9,122,besan,2022-01-01,5,52,3,156,UPI
17,122,sugar,2022-01-01,6,50,7,350,UPI
16,121,nutrella,2022-01-01,1,40,5,200,cash
13,123,maida,2022-01-01,9,20,4,80,UPI
5,122,quaker oats,2022-01-01,6,212,4,848,cash
17,121,dantkanti,2022-01-01,2,100,4,400,UPI
9,122,nutrella,2022-01-01,6,40,7,280,UPI
6,122,quaker oats,2022-01-01,4,212,9,1908,cash
5,123,refined oil,2022-01-01,7,110,6,660,UPI
2,121,refined oil,2022-01-01,1,110,6,660,UPI
8,123,quaker oats,2022-01-01,9,212,3,636,UPI
11,121,sugar,2022-01-01,2,50,9,450,cash
15,122,quaker oats,2022-01-01,4,212,6,1272,UPI
7,123,maida,2022-01-01,8,20,7,140,cash
2,122,besan,2022-01-01,6,52,1,52,cash
19,121,maida,2022-01-01,2,20,3,60,UPI
10,123,clinic plus,2022-01-01,7,1.5,9,13.5,cash
9,121,clinic plus,2022-01-01,3,1.5,8,12.0,cash
7,122,clinic plus,2022-01-01,5,1.5,10,15.0,UPI
20,122,dantkanti,2022-01-01,6,100,6,600,UPI
9,123,quaker oats,2022-01-01,9,212,9,1908,cash
9,121,nutrella,2022-01-01,2,40,8,320,UPI
12,121,quaker oats,2022-01-01,2,212,6,1272,UPI
20,122,maida,2022-01-01,6,20,4,80,UPI
4,123,dantkanti,2022-01-01,9,100,2,200,cash
11,122,refined oil,2022-01-01,6,110,5,550,cash
13,123,dantkanti,2022-01-01,7,100,7,700,UPI
8,122,maida,2022-01-01,5,20,4,80,cash
3,123,maida,2022-01-01,9,20,10,200,UPI
1,123,clinic plus,2022-01-01,7,1.5,6,9.0,cash
3,123,sugar,2022-01-01,9,50,8,400,UPI
13,121,nutrella,2022-01-01,1,40,10,400,cash
1,121,maida,2022-01-01,1,20,2,40,cash
16,122,quaker oats,2022-01-01,6,212,10,2120,UPI
4,122,clinic plus,2022-01-01,6,1.5,7,10.5,cash
5,121,nutrella,2022-01-01,3,40,1,40,UPI
13,123,refined oil,2022-01-01,8,110,2,220,cash
7,122,nutrella,2022-01-01,5,40,1,40,cash
17,123,sugar,2022-01-01,8,50,5,250,cash
17,123,dantkanti,2022-01-01,7,100,1,100,cash
17,123,sugar,2022-01-01,7,50,4,200,cash
14,121,maida,2022-01-01,1,20,3,60,cash
17,122,nutrella,2022-01-01,6,40,9,360,cash
4,123,maida,2022-01-01,7,20,7,140,cash
16,121,sugar,2022-01-01,3,50,5,250,UPI
1,121,nutrella,2022-01-01,1,40,6,240,UPI
2,121,clinic plus,2022-01-01,1,1.5,2,3.0,UPI
10,121,nutrella,2022-01-01,3,40,5,200,cash
2,121,dantkanti,2022-01-01,2,100,10,1000,cash
18,123,quaker oats,2022-01-01,7,212,8,1696,cash
1,122,refined oil,2022-01-01,6,110,3,330,UPI
