customer_id,product_name,sales_date,sales_person_id,price,quantity,total_cost,payment_mode
9,quaker oats,2023-05-05,"[4, 5, 6]",212,10,2120,cash
4,nutrella,2023-05-05,"[7, 8, 9]",40,1,40,cash
1,dantkanti,2023-05-05,"[1, 2, 3]",100,9,900,UPI
3,clinic plus,2023-05-05,"[7, 8, 9]",1.5,3,4.5,UPI
15,refined oil,2023-05-05,"[7, 8, 9]",110,2,220,UPI
9,besan,2023-05-05,"[4, 5, 6]",52,7,364,cash
10,nutrella,2023-05-05,"[7, 8, 9]",40,8,320,UPI
6,sugar,2023-05-05,"[7, 8, 9]",50,7,350,UPI
1,quaker oats,2023-05-05,"[4, 5, 6]",212,8,1696,UPI
18,dantkanti,2023-05-05,"[7, 8, 9]",100,7,700,cash
20,maida,2023-05-05,"[7, 8, 9]",20,6,120,UPI
17,refined oil,2023-05-05,"[7, 8, 9]",110,2,220,UPI
4,dantkanti,2023-05-05,"[1, 2, 3]",100,5,500,UPI
18,clinic plus,2023-05-05,"[1, 2, 3]",1.5,8,12.0,UPI
20,nutrella,2023-05-05,"[4, 5, 6]",40,10,400,UPI
4,clinic plus,2023-05-05,"[1, 2, 3]",1.5,10,15.0,UPI
7,besan,2023-05-05,"[4, 5, 6]",52,10,520,UPI
1,clinic plus,2023-05-05,"[7, 8, 9]",1.5,2,3.0,UPI
12,sugar,2023-05-05,"[7, 8, 9]",50,2,100,UPI
5,nutrella,2023-05-05,"[4, 5, 6]",40,6,240,cash
7,quaker oats,2023-05-05,"[7, 8, 9]",212,8,1696,UPI
9,nutrella,2023-05-05,"[4, 5, 6]",40,5,200,UPI
8,refined oil,2023-05-05,"[7, 8, 9]",110,1,110,UPI
11,maida,2023-05-05,"[4, 5, 6]",20,7,140,UPI
13,sugar,2023-05-05,"[1, 2, 3]",50,7,350,UPI
5,sugar,2023-05-05,"[4, 5, 6]",50,5,250,UPI
7,dantkanti,2023-05-05,"[7, 8, 9]",100,10,1000,UPI
2,nutrella,2023-05-05,"[7, 8, 9]",40,1,40,cash
8,quaker oats,2023-05-05,"[7, 8, 9]",212,4,848,cash
16,nutrella,2023-05-05,"[7, 8, 9]",40,3,120,UPI
3,refined oil,2023-05-05,"[1, 2, 3]",110,8,880,UPI
12,maida,2023-05-05,"[4, 5, 6]",20,3,60,cash
20,sugar,2023-05-05,"[1, 2, 3]",50,6,300,cash
17,clinic plus,2023-05-05,"[1, 2, 3]",1.5,7,10.5,cash
18,maida,2023-05-05,"[4, 5, 6]",20,6,120,cash
1,besan,2023-05-05,"[7, 8, 9]",52,8,416,UPI
13,refined oil,2023-05-05,"[4, 5, 6]",110,7,770,cash
6,sugar,2023-05-05,"[7, 8, 9]",50,9,450,UPI
9,refined oil,2023-05-05,"[1, 2, 3]",110,10,1100,cash
2,quaker oats,2023-05-05,"[1, 2, 3]",212,1,212,UPI
3,quaker oats,2023-05-05,"[4, 5, 6]",212,10,2120,cash
18,besan,2023-05-05,"[1, 2, 3]",52,4,208,cash
19,clinic plus,2023-05-05,"[7, 8, 9]",1.5,6,9.0,cash
8,refined oil,2023-05-05,"[1, 2, 3]",110,8,880,cash
11,dantkanti,2023-05-05,"[4, 5, 6]",100,6,600,UPI
13,besan,2023-05-05,"[7, 8, 9]",52,3,156,UPI
14,maida,2023-05-05,"[4, 5, 6]",20,8,160,UPI
15,clinic plus,2023-05-05,"[4, 5, 6]",1.5,1,1.5,UPI
1,nutrella,2023-05-05,"[1, 2, 3]",40,2,80,UPI
8,sugar,2023-05-05,"[4, 5, 6]",50,1,50,cash
12,clinic plus,2023-05-05,"[7, 8, 9]",1.5,7,10.5,cash
20,nutrella,2023-05-05,"[7, 8, 9]",40,5,200,UPI
18,refined oil,2023-05-05,"[4, 5, 6]",110,5,550,cash
7,clinic plus,2023-05-05,"[7, 8, 9]",1.5,6,9.0,cash
14,quaker oats,2023-05-05,"[4, 5, 6]",212,1,212,UPI
9,clinic plus,2023-05-05,"[1, 2, 3]",1.5,7,10.5,cash
7,clinic plus,2023-05-05,"[7, 8, 9]",1.5,9,13.5,UPI
14,sugar,2023-05-05,"[4, 5, 6]",50,9,450,cash
15,nutrella,2023-05-05,"[4, 5, 6]",40,4,160,UPI
16,maida,2023-05-05,"[1, 2, 3]",20,2,40,UPI
9,refined oil,2023-05-05,"[4, 5, 6]",110,7,770,UPI
2,nutrella,2023-05-05,"[1, 2, 3]",40,1,40,UPI
13,clinic plus,2023-05-05,"[1, 2, 3]",1.5,8,12.0,cash
17,quaker oats,2023-05-05,"[7, 8, 9]",212,2,424,cash
11,besan,2023-05-05,"[1, 2, 3]",52,1,52,UPI
11,refined oil,2023-05-05,"[7, 8, 9]",110,2,220,UPI
12,sugar,2023-05-05,"[1, 2, 3]",50,8,400,cash
15,clinic plus,2023-05-05,"[1, 2, 3]",1.5,2,3.0,UPI
2,maida,2023-05-05,"[4, 5, 6]",20,5,100,UPI
18,nutrella,2023-05-05,"[1, 2, 3]",40,10,400,UPI
19,sugar,2023-05-05,"[7, 8, 9]",50,8,400,cash
20,refined oil,2023-05-05,"[1, 2, 3]",110,2,220,cash
4,refined oil,2023-05-05,"[4, 5, 6]",110,10,1100,UPI
20,nutrella,2023-05-05,"[1, 2, 3]",40,1,40,cash
6,maida,2023-05-05,"[1, 2, 3]",20,2,40,cash
6,sugar,2023-05-05,"[4, 5, 6]",50,3,150,UPI
8,nutrella,2023-05-05,"[1, 2, 3]",40,5,200,UPI
14,quaker oats,2023-05-05,"[4, 5, 6]",212,7,1484,UPI
16,nutrella,2023-05-05,"[4, 5, 6]",40,8,320,UPI
9,sugar,2023-05-05,"[7, 8, 9]",50,8,400,UPI
16,besan,2023-05-05,"[1, 2, 3]",52,1,52,cash
18,dantkanti,2023-05-05,"[4, 5, 6]",100,7,700,UPI
11,clinic plus,2023-05-05,"[7, 8, 9]",1.5,2,3.0,UPI
17,sugar,2023-05-05,"[4, 5, 6]",50,4,200,UPI
10,dantkanti,2023-05-05,"[7, 8, 9]",100,5,500,UPI
8,clinic plus,2023-05-05,"[1, 2, 3]",1.5,5,7.5,UPI
11,maida,2023-05-05,"[4, 5, 6]",20,6,120,cash
1,refined oil,2023-05-05,"[7, 8, 9]",110,10,1100,UPI
4,refined oil,2023-05-05,"[1, 2, 3]",110,1,110,cash
8,refined oil,2023-05-05,"[7, 8, 9]",110,5,550,cash
6,dantkanti,2023-05-05,"[4, 5, 6]",100,10,1000,UPI
12,dantkanti,2023-05-05,"[1, 2, 3]",100,8,800,cash
9,quaker oats,2023-05-05,"[4, 5, 6]",212,10,2120,UPI
14,clinic plus,2023-05-05,"[4, 5, 6]",1.5,1,1.5,UPI
6,sugar,2023-05-05,"[1, 2, 3]",50,2,100,UPI
18,refined oil,2023-05-05,"[4, 5, 6]",110,4,440,UPI
14,dantkanti,2023-05-05,"[1, 2, 3]",100,8,800,UPI
7,sugar,2023-05-05,"[1, 2, 3]",50,3,150,cash
16,sugar,2023-05-05,"[1, 2, 3]",50,1,50,cash
9,quaker oats,2023-05-05,"[7, 8, 9]",212,7,1484,cash
17,maida,2023-05-05,"[7, 8, 9]",20,2,40,UPI
5,clinic plus,2023-05-05,"[7, 8, 9]",1.5,4,6.0,cash
9,dantkanti,2023-05-05,"[1, 2, 3]",100,6,600,UPI
2,besan,2023-05-05,"[4, 5, 6]",52,8,416,cash
6,sugar,2023-05-05,"[7, 8, 9]",50,9,450,UPI
1,nutrella,2023-05-05,"[4, 5, 6]",40,6,240,cash
5,dantkanti,2023-05-05,"[1, 2, 3]",100,8,800,UPI
3,nutrella,2023-05-05,"[1, 2, 3]",40,10,400,UPI
7,clinic plus,2023-05-05,"[4, 5, 6]",1.5,2,3.0,UPI
15,clinic plus,2023-05-05,"[7, 8, 9]",1.5,5,7.5,UPI
10,maida,2023-05-05,"[1, 2, 3]",20,9,180,UPI
3,clinic plus,2023-05-05,"[1, 2, 3]",1.5,8,12.0,cash
1,sugar,2023-05-05,"[4, 5, 6]",50,1,50,cash
7,nutrella,2023-05-05,"[4, 5, 6]",40,8,320,cash
7,besan,2023-05-05,"[4, 5, 6]",52,2,104,cash
20,dantkanti,2023-05-05,"[4, 5, 6]",100,6,600,cash
18,besan,2023-05-05,"[7, 8, 9]",52,10,520,UPI
7,refined oil,2023-05-05,"[7, 8, 9]",110,5,550,cash
13,clinic plus,2023-05-05,"[4, 5, 6]",1.5,6,9.0,UPI
1,nutrella,2023-05-05,"[1, 2, 3]",40,9,360,cash
4,sugar,2023-05-05,"[1, 2, 3]",50,3,150,cash
4,quaker oats,2023-05-05,"[4, 5, 6]",212,2,424,UPI
9,dantkanti,2023-05-05,"[1, 2, 3]",100,1,100,cash
20,sugar,2023-05-05,"[1, 2, 3]",50,2,100,UPI
5,maida,2023-05-05,"[7, 8, 9]",20,4,80,cash
18,maida,2023-05-05,"[7, 8, 9]",20,4,80,cash
20,refined oil,2023-05-05,"[7, 8, 9]",110,10,1100,UPI
5,clinic plus,2023-05-05,"[1, 2, 3]",1.5,1,1.5,cash
18,besan,2023-05-05,"[1, 2, 3]",52,9,468,cash
6,refined oil,2023-05-05,"[4, 5, 6]",110,10,1100,UPI
19,clinic plus,2023-05-05,"[4, 5, 6]",1.5,3,4.5,cash
9,dantkanti,2023-05-05,"[1, 2, 3]",100,6,600,UPI
4,quaker oats,2023-05-05,"[4, 5, 6]",212,9,1908,UPI
12,maida,2023-05-05,"[7, 8, 9]",20,6,120,UPI
5,nutrella,2023-05-05,"[7, 8, 9]",40,8,320,cash
19,quaker oats,2023-05-05,"[4, 5, 6]",212,9,1908,UPI
7,maida,2023-05-05,"[1, 2, 3]",20,3,60,cash
13,maida,2023-05-05,"[7, 8, 9]",20,10,200,cash
10,dantkanti,2023-05-05,"[4, 5, 6]",100,10,1000,cash
15,dantkanti,2023-05-05,"[7, 8, 9]",100,1,100,UPI
12,nutrella,2023-05-05,"[4, 5, 6]",40,2,80,cash
15,quaker oats,2023-05-05,"[4, 5, 6]",212,4,848,cash
14,maida,2023-05-05,"[1, 2, 3]",20,1,20,cash
10,quaker oats,2023-05-05,"[1, 2, 3]",212,9,1908,UPI
6,nutrella,2023-05-05,"[7, 8, 9]",40,3,120,UPI
10,clinic plus,2023-05-05,"[7, 8, 9]",1.5,8,12.0,UPI
7,dantkanti,2023-05-05,"[7, 8, 9]",100,4,400,cash
8,besan,2023-05-05,"[4, 5, 6]",52,8,416,cash
12,besan,2023-05-05,"[1, 2, 3]",52,3,156,cash
8,maida,2023-05-05,"[1, 2, 3]",20,5,100,cash
3,dantkanti,2023-05-05,"[1, 2, 3]",100,1,100,UPI
2,besan,2023-05-05,"[7, 8, 9]",52,4,208,cash
11,sugar,2023-05-05,"[1, 2, 3]",50,8,400,UPI
4,nutrella,2023-05-05,"[1, 2, 3]",40,6,240,UPI
8,besan,2023-05-05,"[4, 5, 6]",52,1,52,cash
17,clinic plus,2023-05-05,"[4, 5, 6]",1.5,10,15.0,cash
6,refined oil,2023-05-05,"[4, 5, 6]",110,3,330,cash
7,maida,2023-05-05,"[7, 8, 9]",20,1,20,UPI
20,clinic plus,2023-05-05,"[1, 2, 3]",1.5,3,4.5,cash
13,nutrella,2023-05-05,"[7, 8, 9]",40,5,200,cash
5,sugar,2023-05-05,"[7, 8, 9]",50,5,250,UPI
5,quaker oats,2023-05-05,"[1, 2, 3]",212,1,212,cash
11,nutrella,2023-05-05,"[1, 2, 3]",40,8,320,UPI
9,maida,2023-05-05,"[4, 5, 6]",20,9,180,cash
20,sugar,2023-05-05,"[4, 5, 6]",50,4,200,UPI
11,maida,2023-05-05,"[4, 5, 6]",20,3,60,cash
20,sugar,2023-05-05,"[1, 2, 3]",50,2,100,cash
11,refined oil,2023-05-05,"[1, 2, 3]",110,3,330,UPI
2,clinic plus,2023-05-05,"[1, 2, 3]",1.5,8,12.0,UPI
12,nutrella,2023-05-05,"[7, 8, 9]",40,5,200,cash
9,besan,2023-05-05,"[4, 5, 6]",52,5,260,UPI
12,refined oil,2023-05-05,"[4, 5, 6]",110,4,440,cash
15,sugar,2023-05-05,"[7, 8, 9]",50,8,400,cash
19,refined oil,2023-05-05,"[4, 5, 6]",110,7,770,UPI
3,sugar,2023-05-05,"[7, 8, 9]",50,5,250,cash
10,clinic plus,2023-05-05,"[1, 2, 3]",1.5,7,10.5,cash
10,dantkanti,2023-05-05,"[1, 2, 3]",100,6,600,cash
16,dantkanti,2023-05-05,"[7, 8, 9]",100,5,500,cash
7,besan,2023-05-05,"[4, 5, 6]",52,7,364,UPI
12,clinic plus,2023-05-05,"[7, 8, 9]",1.5,9,13.5,cash
15,quaker oats,2023-05-05,"[7, 8, 9]",212,9,1908,UPI
20,quaker oats,2023-05-05,"[4, 5, 6]",212,10,2120,cash
11,quaker oats,2023-05-05,"[4, 5, 6]",212,3,636,cash
11,nutrella,2023-05-05,"[4, 5, 6]",40,9,360,cash
14,quaker oats,2023-05-05,"[4, 5, 6]",212,8,1696,cash
17,clinic plus,2023-05-05,"[1, 2, 3]",1.5,10,15.0,UPI
11,clinic plus,2023-05-05,"[4, 5, 6]",1.5,4,6.0,cash
6,refined oil,2023-05-05,"[4, 5, 6]",110,3,330,UPI
6,sugar,2023-05-05,"[7, 8, 9]",50,3,150,UPI
13,dantkanti,2023-05-05,"[4, 5, 6]",100,9,900,UPI
6,dantkanti,2023-05-05,"[7, 8, 9]",100,7,700,UPI
17,refined oil,2023-05-05,"[1, 2, 3]",110,8,880,cash
8,besan,2023-05-05,"[4, 5, 6]",52,9,468,cash
18,quaker oats,2023-05-05,"[4, 5, 6]",212,6,1272,cash
4,sugar,2023-05-05,"[1, 2, 3]",50,4,200,cash
4,clinic plus,2023-05-05,"[4, 5, 6]",1.5,10,15.0,cash
8,besan,2023-05-05,"[7, 8, 9]",52,4,208,UPI
14,dantkanti,2023-05-05,"[7, 8, 9]",100,9,900,cash
11,quaker oats,2023-05-05,"[1, 2, 3]",212,4,848,UPI
18,quaker oats,2023-05-05,"[1, 2, 3]",212,9,1908,cash
16,besan,2023-05-05,"[1, 2, 3]",52,2,104,UPI
18,dantkanti,2023-05-05,"[7, 8, 9]",100,10,1000,cash
4,sugar,2023-05-05,"[4, 5, 6]",50,8,400,UPI
16,besan,2023-05-05,"[7, 8, 9]",52,10,520,UPI
16,dantkanti,2023-05-05,"[1, 2, 3]",100,1,100,cash
5,besan,2023-05-05,"[1, 2, 3]",52,9,468,cash
12,refined oil,2023-05-05,"[7, 8, 9]",110,1,110,UPI
7,clinic plus,2023-05-05,"[4, 5, 6]",1.5,2,3.0,UPI
20,sugar,2023-05-05,"[7, 8, 9]",50,8,400,cash
9,refined oil,2023-05-05,"[4, 5, 6]",110,6,660,cash
8,maida,2023-05-05,"[4, 5, 6]",20,7,140,UPI
12,sugar,2023-05-05,"[4, 5, 6]",50,3,150,UPI
